headline,text,high_label,label
Schedule of events for 13-19 March,"<b>MONDAY, 13 March</b>
	SARAJEVO, Bosnia and Herzegovina - Prime Minister Robert Golob will make an official visit to Bosnia and Herzegovina.
	LJUBLJANA - Laszlo Köver, the speaker of the National Assembly of Hungary, will make an official visit.
	GENEVA, Switzerland - Minister of Digital Transformation Emilija Stojmenova Duh will take part in the annual World Summit on the Information Society Forum; until 17 March.
	LJUBLJANA - Economy Minister Matjaž Han and Environment, Climate and Energy Minister Bojan Kumer will address reporters as they sign contracts to subsidise wood industry projects.

<b>TUESDAY, 14 March</b>
	LJUBLJANA - The ruling coalition is to set out tax and education reforms at a summit meeting.
	LJUBLJANA - The parliamentary Foreign Policy Committee will meet behind closed doors.
	LJUBLJANA - The parliamentary Commission for Petitions, Human Rights and Equal Opportunities will debate human rights to safety and dignity on the internet.
	LJUBLJANA - The Farmland and Forest Fund will mark its 30th anniversary.
	LJUBLJANA - New prices of regulated fuels will kick in.

<b>WEDNESDAY, 15 March</b>
	LJUBLJANA - The parliamentary Foreign Policy Committee will be in session.
	LJUBLJANA - The parliamentary Finance Committee will re-read a bill reintroducing mandatory issuance of receipts by vendors following a veto in the upper chamber.
	LJUBLJANA - The parliamentary Home Affairs and Local Government Committee and the Infrastructure and Environment Committee will debate a Ljubljana sewerage project.
	SLOVENJ GRADEC - A press conference as part of the 17th auction of precious timber.
	LJUBLJANA - Deloitte will present results of a survey among CFOs on investment incentives and innovation.
	ROGLA - Snowboarding World Cup parallel giant slalom events for men and women.
	LJUBLJANA - End of mandatory winter tyres period.

<b>THURSDAY, 16 March</b>
	LJUBLJANA - A weekly government session.
	KOPER - Mariya Gabriel, the European commissioner for innovation, research, culture, education and youth, will be a guest at an event marking the 20th anniversary of the University of Primorska.
	LJUBLJANA - An event dubbed Day of Social Networks featuring former President Borut Pahor.

<b>FRIDAY, 17 March</b>
	IZOLA - A panel debate on how universities can support an innovative Europe featuring Mariya Gabriel, the European commissioner for innovation, research, culture, education and youth, and Igor Papič, minister of higher education, science and innovation.
	KRŠKO - The Krško Nuclear Power Plant will present dry storage of spent nuclear fuel.
	LJUBLJANA - A joint session of the parliamentary committees of infrastructure and environment and economy to discuss new CO2 emission reduction targets for cars and vans.
	LJUBLJANA - The parliamentary Agriculture Committee will discuss taxation of payments for farming in areas with limitations.
	LJUBLJANA - The Amnesty International Slovenia Human Rights Film Award will be presented at the conclusion of the 25th Documentary Film Festival.
	LJUBLJANA - A new season of Open Kitchen, an open-air food court, will open.

<b>SATURDAY, 18 March</b>
	CELJE - ApiSlovenija, a two-day fair advertised as the biggest beekeeping event in Europe.

<b>SUNDAY, 19 March</b>
	No major events are scheduled for now.","economy, business and finance",politics
Weather: Sunny with some rain in the mountains,"Wednesday will be cloudy with rain possible in the western half of the country, but will peter out by the evening.

A weak bora will srat blowing in Primorska, west, and an easterly will blow in some parts inland, where it will be somewhat colder.

Thursday will be sunny with morning fog in the lowlands.",weather,weather
STA journalist short-listed for science journalism award,"Udovč, who has been dedicating herself to science journalism for over eight years, previously worked at the N1 Slovenija news portal and currently heads the STA's video service, established in May.

Her journalistic work includes interviews and in-depth stories on topics ranging from medicine, astrophysics, technology, energy, neuroscience, environment, biology to history, geography and gender.

She has interviewed some of the most prominent names in science, including Nobel Prize laureates Stanley Whittingham, John C. Mather, and Rainer Weiss, Vinton Cerf, dubbed the ""father of the Internet"", and astronaut Chris Hadfield.

Udovč was nominated for the award also in 2018 and in the same year she received the Watchdog Award for best young journalist given out by the Slovenian Association of Journalists.

She is also a guest lecturer at the Faculty of Social Sciences in Ljubljana and at the Jožef Stefan International Postgraduate School.

The European Science Journalist of the Year Award was established in 2014 by the Association of British Science Writers, and since 2020 it has been handed out annually by the European Federation for Science Journalism with the support of the global information and analytics provider Elsevier.

As journalists from all over Europe are nominated by local science journalism associations and individuals, Udovč was nominated by the Balkan Network of Science Journalists.

The other two finalists are Daniel Bolcso, a journalist and editor at the Hungarian web portal Telex.hu, and Niki Korteweg, a science journalist with the Dutch newspaper NRC.

Past winners come from Slovenia, Croatia, Germany, Spain, Russia, the Netherlands and the UK.

The winner will be picked by an international jury and the award will be presented at a ceremony on 25 October 2023 in Freiburg, Germany, as part of the German Science Journalists' Association meeting.",science and technology,science and technology
Govt approves changes to second track investment programme (adds),"""Trains will drive on the track in the first half of 2026 based on a temporary operating permit or decision,"" said the Infrastructure Minister Alenka Bratušek.

The project will finish at the end of 2025, followed by two quarters to correct any errors, Bratušek said at a press conference after the government session on Thursday.

The project will cost less than what was planned in 2019, despite the increased costs of materials, noted Bratušek, saying that in 2019 the project was estimated at EUR 1.15 billion.

The price tag is in fact lower than the first estimate, but it is 18% higher than set down in the first revision of the investment programme in 2021.

This is the second change of the investment programme and the ministry says it was necessary because of higher prices of inputs, the deadline for completion, and the decision not to involve inland countries as investors.

Previous estimates by the company managing the project 2TDK were that work would be finalised at the end of March 2026. The first draft of the changes to the investment programme envisaged the same deadline but did not get government approval.

The estimates along with an increased investment value of the project were given in March by the previous management of 2TDK, which was denied discharge of liability by the government and was subsequently replaced, with Matej Oset named new director general in place of Pavle Hevka.

2TDK leadership will discuss the changes to the investment programme at a press conference on Friday.",labour,"economy, business and finance"
"Schedule of events for Wednesday, 25 October","LJUBLJANA - The government is expected to debate a bill on post-flood reconstruction at its weekly session; Government Palace, Gregorčičeva 25, 10am.

LJUBLJANA - The Labour Committee will debate government amendments to the Labour Relationships Act; Parliament House, Šubičeva 4, 2pm.

LJUBLJANA - The Home Policy Committee will debate amendments to the Aliens Act; Parliament House, Šubičeva 4, 1pm.

LJUBLJANA - The Finance Committee will examine amendments to the VAT Act; Parliament House, Šubičeva 4, 9am.

LJUBLJANA - The parliamentary commission investigating political interference in the work of the police will meet behind closed door; Parliament House, Šubičeva 4, 8am.

LJUBLJANA - Rally organised by the SVIZ trade union of teachers to highlight wage disparities in the public sector; in front of Government Palace, Gregorčičeva 25, 2pm.

LJUBLJANA - Panel on corporate insurance against natural disasters organised by Dnevnik and the Chamber of Commerce and Industry; Cankarjev Dom, Prešernova 10, 4pm.

LJUBLJANA - The Gazelle Award for the best fast-growing Slovenian company will be declared; Cankarjev Dom, Prešernova 10, 6:30pm.

LJUBLJANA - Investment conference by the Slovenian-Dutch Business Platform; Slovenian Business Club, Dunajska 119, 1pm.

MARIBOR - Start of See Meet 2023, a SE Europe business meeting hosted by the Economy Ministry, Spirit Agency, and the Novo Mesto and Podravje-Maribor development centres; Minoriti, Vojašniški Trg 2a, 9am.

LJUBLJANA - The Statistics Office will release tourism figures for September and business confidence figures for October.

In case of further queries contact the duty editor at +386 1 241 0115 or english@sta.si:

7:30am to 2pm: Ajda Ana Zupančič
2pm to 10pm: Mateja Benec

Follow us on:

Twitter https://twitter.com/STA_English

Facebook https://www.facebook.com/STA.English","economy, business and finance",politics
Posavje region on high alert due to swollen Sava,"A warning siren rang through the town of Brežice at approximately 4pm to warn citizens that the local hydro power station has opened sluice gates to battle the floods.

Bogdan Barbič, director of the company HESS, which is in charge of the hydroelectric plants in the region, told the STA that all of them had done the same to allow the Sava to run freely.

Given that the river's flow has reached 3,700 cubic metres per second and is still rising, the situation is alarming, he added.

Teams at the hydro power stations are on alert, and what may further aggravate the situation is the water levels of the Krka River, which joins the Sava, the country's longest river, in Brežice.

The risk of flooding will be at its greatest around midnight, particularly in the Brežice area. The Sava's swelling waters may reach record levels.

Citizens have been urged to leave the local areas most prone to flooding, and rescue and relief authorities are on standby. Brežice Mayor Ivan Molan has expressed concerns that certain villages or areas may be flooded.

Meanwhile, the situation at the Krško nuclear power plant is stable and under control. The swollen Sava has so far posed no threat to the plant, the authorities told the STA.

Late in the afternoon, the plant did declare an abnormal event in line with established protocols, informing the Nuclear Safety Administration of this.

""The Sava's levels are still not high enough to jeopardise the Krško plant,"" Tomaž Nemec from the administration told the STA, confirming that the plant was operating safely. The river's levels are expected to start dropping after midnight, he added.",disaster and accident,disaster and accident
Bled hosting Winter Swimming World Championships,"Most competitors come from Finland, the UK, Germany and Denmark, but there are participants from all over the world, including Argentina, Mongolia and Morocco. The oldest among them will turn 88 shortly.

""Winter swimming has crossed the borders of cold climate countries and has become a global sport,"" Urška Klinar from Si Sport, the company organising the event, said.

Ten Slovenian swimmers have registered for the tournament, including former Olympian Luka Turk.

The participants will check out the water at test swims on Monday with the events in a total of 17 disciplines to follow between Tuesday and Saturday.

The weather is a key factor in the competition and it is important that the water is not too warm, especially for those going for top results and records.

Klinar is happy that the snow and cold have created a lovely backdrop. When Bled hosted the championships in 2020 the problem was too high temperatures and during earlier World Cup events ice had to be cut out from the frozen lake.

Klinar says the water is supposed to have between 3 and 5 degrees Celsius. At this time the lake water temperature is at the upper limit.

The participants will be able to take part in 12 competitive disciplines in different swimming styles, in the lengths of between 25 and 450 metres.

Everyone brave enough can take a dip or dive in the lake and participate in freestyle swims of between 25 and 50 metres without timing. There will be group swims and international relays.

The toughest participants will take part in the Bled Swim, a 1,000-metre distance swim, which will open the competition on Tuesday.

Under the rules, swimmers can only wear goggles, bathing costume and a swim cap made of latex or silicone. Neoprene is not allowed. After the swim, they will be able to warm up in a sauna or jacuzzi and with a cup of hot tea.

Back in 2020, the championships attracted more than 1,100 participants to Bled. This time the Alpine resort is hosting the tournament in place of Russia's Petrozavodsk.",sport,sport
"Pahor says border arbitration never ""poisoned"" Slovenian-Croatian relations","After Golob said last Friday that the border arbitration award, ""which has had such a poisonous effect on relations between the two countries"", was being taken off the political agenda and being given some time, Pahor begged to differ.

Pahor, who had signed the agreement on arbitration as prime minister in 2009, wrote that the agreement not only enabled the border issue to be resolved peacefully and Croatia to join the EU, but also opened a new, friendly chapter in the relations between the two neighbours after 18 years of major and minor security incidents.

While Golob also emphasised that Slovenia remained committed to the outcome of the decision of the tribunal which needed to be implemented, Pahor stressed that the arbitration award set the border between the two countries and was binding for both sides.

""The fact that the border has not yet been demarcated due to Croatia's objections does not change this. When Croatia unilaterally withdrew from respecting the arbitration agreement, Slovenia did not escalate relations. I consider this to have been one of Slovenia's most mature foreign policy decision to date"", he added.

In Pahor's view, arbitration has never ""poisoned"" relations between two countries and their people. If it had, Slovenia would certainly not have given the green light for Croatia to join Schengen, he added.

According to the former president, there is no need to talk much about the fate of the arbitration during officials visits by Slovenian top officials. ""Saying that arbitration is being taken off the agenda could be misinterpreted. Slovenia must insist, in particular during official visits, on the position that the border issue is resolved. Because it is,"" Pahor wrote.",politics,politics
Constitutional complaint filed over Austria extending border checks,"The complaint filed by the law firm Grilc Vouk Škof from Klagenfurt comes after Austria last week announced the intention to extend control on the borders with Slovenia and Hungary, providing migration and security situation in the EU as the reason.

The press release sent to the STA by Vouk says that border control is in contravention of relevant rulings of the EU Court and that it ""violates the citizens' right to equality before law and further rights guaranteed by the constitution.""

The law firm refers, among others, to the ruling from last April, which established that a member state may reintroduce control at its borders with other member states in the event of a serious threat to its public order or internal security.

However, this control may not exceed a total duration of six months, whereas Austria introduced checks on its borders with Slovenia and Hungary in 2015, at the height of the refugee crisis, and has kept extending them by six months ever since.

In the period between May 2016 and November 2017, Austria relied on four consecutive relevant recommendations of the Council of the EU.

After that, the country reintroduced border control on its own initiative from 11 November 2017 for a number of consecutive six-month periods.

According to the EU Court, Austria has not proved the existence of a new serious threat as of 10 November 2017, which is the expiration date of the last recommendation from the Council.

The law firm notes in the complaint that the court has found that control on the Austrian-Slovenian border has no longer been permitted without additional justification as of 2017 and that Austria has since then failed to sufficiently justify it.

The constitutional complaint comes after Slovenian Foreign Minister Tanja Fajon urged her Austrian counterpart Alexander Schallenberg to ""consider the next steps"" related to extending the border checks.

The Foreign Ministry last week said the decision was unacceptable and regretted the actions of the Austrian authorities, adding it would respond accordingly after the European Commission was notified of the matter.

Fajon told Schallenberg in a telephone conversation that Slovenia did not want stricter border control, especially in the light of the coming tourist season.

The law firm also cited in the complaint the statement by Carinthia Governor Peter Kaiser, who said there had been no reason to control the border between Slovenia and Austria any longer.","crime, law and justice","crime, law and justice"
Communicable diseases detected in flood-hit areas (adds),"""We have been detecting cases since Tuesday evening and we can expect the number of cases to spread in the coming days,"" the regional unit of the NIJZ has told the STA.

The cases have been detected in the municipalities along the Meža River, with somewhat more cases in and around Črna na Koroškem, the town at the epicentre of flooding. The clusters are isolated for the time being.

An epidemiologist from the NIJZ local unit is there to monitor the situation and cooperate with the authorities and the people. More than ten people have been reported to have sought help so far, with the symptoms of diarrhoea, stomachache and fever.

It is estimated that the number of infected people is higher, as not all of them are likely to have asked for help.

Parts of the northern Koroška region are still without water supply, and even in areas that do have it people need to boil water to make it safe, which entails risks to public health.

It is not clear yet what caused the diseases, but potential risks include contaminated tap water, contaminated food, contact with contaminated debris, poor sanitary conditions and such.

The NIJZ urged following preventive measures in the given situation, advising the locals to use bottled or boiled water for consumption, brushing their teeth, and washing fruits and vegetables.

They are also advised to shower from the neck down to prevent water coming into contact with their face and mouth. They should also wash and sanitise their hands when preparing food.

The debris deposited by water should be handled with gloves.

Protective gloves are also an obligatory part of the equipment for those helping with the clean-up efforts.",disaster and accident,disaster and accident
