headline,lede,text,high_label,proposed_label
Weather: Hotter still,Sunny skies are forecast for Wednesday with morning lows from 16 to 21 degrees Celsius and daytime highs ranging from 31 to 36 degrees. A southwesterly wind will blow and local storms are expected towards the evening.,"After a stormy night, it will be changeably to mostly cloudy on Thursday with a high chance of showers and storms. Isolated showers and thunderstorms will continue on Friday, mostly in the afternoon.",weather,['weather']
Finance suggests Golob's dislike for NEK 2 might not be bad for project,"Prime Minister Robert Golob's rumoured lack of enthusiasm for the planned second nuclear reactor might not necessarily be a bad thing for the project's outcome, says the newspaper Finance on Tuesday as it notes the prime minister's declining approval ratings.","Government approval ratings are falling, while it is rumoured that the public's support for nuclear energy is rising. It would be no surprise if the latter turns out to be true against the backdrop of the energy crisis.

Experts say that Golob and the government are not very enthusiastic about building the second unit at the Krško Nuclear Power Plant (NEK 2).

Sooner or later Slovenia will hold a referendum on this topic, and ""if Golob truly does not like NEK 2, this may not be a bad thing for NEK 2"".

There are two reasons for this suggestion: First, the prime minister has been facing enquiries about the operations of GEN-I, the energy company he used to run.

Accusations of alleged shady dealings did not have a major impact on the last general election and this would likely stay the case in the future election, since ""elections are the choice between (opposition leader Janez) Janša and Non-Janša"".

But it is likely there will be different criteria in the NEK 2 referendum, so the pro campaign should be led by supporters with a spotless track record.

And secondly, voters are sceptical about major infrastructure projects due to scandals in the past, but this time around there might be less distrust due to the government's dislike.

""If voters are truly increasingly in favour of the nuclear option and if Golob is truly against it, then it is time to consider holding a voter-triggered referendum soon.

""Why now? Who says, for example, Slovenians will be more in favour of NEK 2 in 2026 than today? A potential nuclear victory would give the nuclear project a powerful boost. But what about potential defeat? While it would not be pleasant for the supporters of the second reactor, it would probably not be fatal,"" says the commentary Why It Is Not a Bad Thing at All for NEK 2 if Golob Does Not Like It.",environmental issue,"['economy, business and finance', 'politics', 'environmental issue']"
"State forestry company with record revenue, profit in 2022","Slovenski Državni Gozdovi (SiDG), the public company managing state-owned forests in Slovenia, generated a record EUR 90.7 million in revenue last year and a record net profit of EUR 16.9 million, which is 31% and 21% more than in 2021, respectively.","""Operating results show that we managed to make good use of the favourable conditions in the markets last year,"" the annual report of SiDG says, noting that the successful 2022 had additionally improved the financial stability of the company.

The largest share (85%) of sales, was again generated by means of long-term sales contracts, which maintain the stable supply of the domestic wood industry and help promote the forestry-wood chain.

Compared to 2021, SiDG allocated 45% less funds for investments last year, or EUR 3.6 million. The company increased investments in cultivation and conservation work, and in the promotion of the social and ecological functions of forests.

More funds than in 2021 were also allocated for sponsorships and donations intended for the promotion of forests, forestry and wood processing.

This year, the company expects EUR 10 million in net profit and over EUR 12 million in investments, with the expected lower profit being the consequence of the changed circumstances in the market.

""It seems that the period of high prices of timber witnessed in recent years is coming to an end,"" the company said.

It noted that the biggest challenge in the future would be salvaging the subsidiary Snežnik, a wood processing company which is recording declining numbers due to the obsolete technology.

SiDG said it would implement a comprehensive restructuring programme to help keep afloat the company with 70 years of tradition.","economy, business and finance","['economy, business and finance']"
Delo critical of lack of strategic planning in agriculture,The newspaper Delo's front-page commentary on Friday notes that Slovenia's agricultural policy has been long implemented without any clear strategic planning. As a result the country is lagging behind in agricultural modernisation and climate change adaptation.,"Agriculture is in bad shape in Slovenia due to rising production costs and this year's extreme weather events, and encouraging words and ambitious announcements will not be enough to improve the situation and increase food self-sufficiency.

The situation is ""partly due to the fact that for several government terms agricultural policy has been implemented without any clear strategic planning on what we want to achieve and how"", says the commentary No Strategy on Key Strategic Issue.

Afraid of new peasants' revolts, policy makers cater mainly to the loudest, which does not necessarily mean an increase in food sovereignty.

The country's delay in agricultural modernisation and climate change adaptation is a result of this. The Agriculture Ministry started updating the strategy as late as last year after more than a decade of unsystematic measures.

""However, in the meantime the future has caught up with us, and it looks like we will have to take emergency measures that will cost us dearly even before the new strategy and action plan.""

In order to tackle Slovenia's food import dependency, authorities will also have to raise awareness among consumers, the commentary concludes.",environmental issue,"['politics', 'environmental issue']"
Trade unions oppose freezing of social transfers,"Trade union associations voiced fierce opposition to government plans to reduce budget expenditure next year by freezing social transfers and not indexing income tax brackets to inflation, as they accused the government on Monday of putting the cost of post-flood reconstruction on the shoulders of individuals.","Combined with the solidarity contribution for post-flood reconstruction, the people will contribute almost EUR 250 million for post-flood reconstruction, Lidija Jerkič, the head of the ZSSS trade union association, told the press.

Businesses have reported EUR 500 million in flood damage, but the floods did not affect all companies. ""How much will business contribute,"" she said.

Jerkič said the proposed measures will hurt people's purchasing power at a time when inflation remains high, which will in turn have a negative impact on economic growth.

""The Labour Ministry is sending out the message that the active population is not taxed enough and that social transfers, including family benefits, are too generous,"" she said.

Branimir Štrukelj, the president of the Confederation of Public Sector Trade Unions, meanwhile questioned the government's commitment to social dialogue, which was supposed to set it apart from the previous government.

""In this case, dialogue has been reduced to the notification that the government proposes the suspension of indexation,"" he said.

While the minimum wage was not mentioned among the cost-saving measures, Jerkič fears that this is on the table as well. If the minimum wage is not indexed to inflation in January, the trade unions plan to ""deploy any measures necessary,"" including an all-out strike, she said.",labour,"['labour', 'disaster and accident']"
Upper chamber vetoes a series of legislative changes,"The National Council, the upper chamber of parliament, vetoed on Wednesday changes to the Animal Protection Act, changes to the Chamber of Agriculture and Forestry Act, and a bill granting amnesty for fines issued during the Covid-19 pandemic. All three are likely to be passed again by the lower chamber.","All three sets of legislative changes were passed last week, with the coalition arguing that the changes to the Animal Protection Act brought much-needed solutions to fight animal abuse, while the main grievance from the opposition referred to the introduction of special ""qualified reporting persons"" that can check on animal welfare on farms.

Councillor Anton Medved said today that the changes did not have the support of legal, veterinary and agricultural experts. The legal experts even warned they could be constitutionally objectionable.

According to coalition MPs, changes to the Chamber of Agriculture and Forestry Act aim to reduce the political influence in the operation of the Chamber of Agriculture and Forestry (KGZS).

Under the changes members of the bodies of political parties at the national level, MEPs, officials in the European Commission and the European Council cannot be candidates for members of certain bodies of the KGZS in the next elections in 2024.

This provision also applies to the president of the republic, prime minister, ministers and state secretaries, MPs, professional mayors, directors general and secretaries general at ministries, directors of bodies at ministries and government services.

Also covered by the ban are directors general and directors of directorates general at the European Commission, directors of municipal administrations and municipal secretaries.

The opposition and the KGZS itself argued last week that the changes encroached on the chamber's autonomy and did not eliminate unconstitutionalities, while being impossible to implement.

Branko Tomažič, who chairs the National Council's commission for agriculture, said today the changes were constitutionally objectionable in the context of the right to participate in the management of public affairs, the principle of equality before the law and the principle of the rule of law. The changes also severely interfere with the KGZS's autonomy, he said.

The third peace of legislation, the bill to grant amnesty for fines people received for breach of Covid rules during the pandemic was conceived as a step to right wrongs, but the largest opposition party maintained as it was being passed that it would only lead to new injustices.

Councillor Miloš Pohole said today that the individuals to be reimbursed had violated the law that was in force during the pandemic, with the potential consequence of this being the loss of life and health of a large number of people. Appropriate legislative solutions could be found based on the existing legislation, he said.

He warned that the solutions adopted now constituted a violation of the rule of law and set a bad example for the future. The law will also place a burden on the Slovenian judiciary and taxpayers, with the total estimated financial impact of the law amounting to over EUR 5 million, Pohole stressed.

The veto of the upper chamber means the National Assembly will need to take another vote on each of the three bills and this time they will need the support of 46 MPs to be passed.","crime, law and justice","['politics', 'crime, law and justice']"
Koležnik's production among top 10 in German-language theatre,"Slovenian director Mateja Koležnik's take on Maxim Gorky's play Children of the Sun, staged at the German theatre Schauspielhaus Bochum, has made the list of ten remarkable productions from the last season in German-speaking theatre. The jury of critics applauded her work as highly topical.","The jury wrote that ""at first glance, Mateja Koležnik's production of Maxim Gorky's 'Kinder der Sonne (Children of the Sun)' appears to be from a different time"", as it brings to mind somewhat dated theatre traditions.

""And yet, there is nothing museum-like about Koležnik's approach. In fact, her work is highly topical."" The characters behave in such a way to convey expressions of toxic privilege or egocentrism in the play whose centrepiece is the decline of a self-absorbed bourgeoisie.

""In this way, Koležnik moves Gorky's characters closer to us and our crisis-ridden reality,"" the seven-member jury said in a post on the Berliner Festspiele website.

Along with the other nine productions, Children of the Sun will be staged at the annual Berlin theatre festival Theatertreffen in May.

The top 10 productions were selected from a total of 461 performances by 58 theatres from Germany, Austria, Switzerland and co-productions between German theatres and theatres and companies from other countries.

Koležnik is busy these days preparing for tomorrow's sold-out premiere of another production, a fusion of Sophocles's Antigone and Slavoj Žižek's The Three Lives of Antigone, at the Munich Residence Theatre.

Koležnik's production is at the same time a political thriller and a family epic, said the theatre.

""I know that in theatre you have to distinguish between right and wrong, decide which character to side with. In Antigone, the personal right which concerns one's own family, one's own religion, is set against the state and its decisions.

""When I read the work today, it seems to me that both sides are wrong and not even willing to listen to each other, and so I want to tell the story from both sides,"" Koležnik told the theatre.","crime, law and justice","['arts, culture and entertainment']"
Former economy minister and ambassador Tea Petrin dies,"Tea Petrin, a former economy minister who also served as ambassador to the Netherlands, has died at the age of 78.","Petrin earned a master's degree in economics from the Louisiana State University in New Orleans in 1971 and ten years later a PhD in economics from the Faculty of Economics in Ljubljana where she also worked as a full professor.

She was mostly known to the public as a politician, having served as economy minster from 2000 and 2004 and after that as Slovenia's ambassador to the Netherlands.

Slovenian MEP and former speaker of parliament Milan Brglez has responded to the news by describing Petrin as ""an extraordinary professor who served as minister in the most demanding period of Slovenia's path to the EU"". ""We remain grateful for her contribution. May she rest in peace,"" he added.",education,['politics']
President calls for cleaner environment and water in Slovenia (adds),"After a report of the UN special rapporteur on human rights and the environment for Slovenia was presented on Thursday, President Nataša Pirc Musar said it should serve as incentive for a faster green transition and preservation of biodiversity. She called on the government and relevant institutions to take measures to eliminate deficiencies.","As the special rapporteur David Boyd presented the report to the UN Human Rights Council in Geneva, he called on Slovenia to take climate action based on the protection of human rights and care for the most vulnerable people.

He praised the diligence of households in waste sorting and the introduction of an environmental tax.

The report notes the case of Anhovo, where a higher rate of cancer is being detected for years due to poor air quality, the office of President Pirc Musar announced today.

It added that the president called for quick action also when it comes to access to safe drinking water for residents of some Roma settlements, such as Dobruška Vas. ""Clean drinking water must be provided without delay or excuses.""

Pirc Musar joined the call of the UN special rapporteur for the protection and improvement of air quality.

""The air is excessively polluted in several hot spots, which puts the health of adults and, even more so, the health of children, older people and the sick at risk,"" the president added.

Most of the warnings are nothing new, as they were also noted by Slovenian Human Rights Ombudsman Peter Svetina, who had contributed to the report.

""The rights to a healthy and clean environment and to clean drinking water are important human rights that belong to all of us,"" said the president.

While the rights to a healthy living environment and to drinking water are constitutional categories in Slovenia, the country is also among the main initiators at the international level of a new human right to a healthy and clean environment.

Pirc Musar welcomed the fact that this right was declared universal by the UN General Assembly in New York last summer, the president's office said.

In his Thursday's video address to the UN Human Rights Council, Ombudsman Svetina stressed that the constitutional right to clean water is being implemented too slowly.

He also agreed with UN special rapporteur Boyd that the public is too often excluded from decision-making in this field.

Svetina took this opportunity to urge the government to implement as soon as possible Boyd's recommendations regarding a safe, clean, healthy and sustainable environment and to present an implementation timeline, according to a posting on the ombudsman's website.",environmental issue,"['politics', 'environmental issue']"
Večer looks at internal fighting over Security Council bid,"Projects of national importance often become a hostage of internal political fighting, the newspaper Večer says in its commentary on Slovenia's UN Security Council bid as it takes a look at how former PM Janez Janša has tried to undermine Foreign Minister Tanja Fajon by revealing on whose initiative the country filed the bid.","The Robert Golob government ""adopted"" the candidacy for a non-permanent seat on the Security Council from the Janez Janša government and gave it a priority label.

Janša's government announced it in December 2021 rather than a few months earlier during the General Assembly session, where it could have already started lobbying.

Soon afterwards, then Foreign Minister Anže Logar was invited to the State Department, which prompted speculation that the bid was sponsored by the US.

And just recently, Janša ""flatly"" admitted on Twitter that Slovenia's bid was filed upon ""explicit request by American and European allies in the EU and NATO"".

Večer says this is no major revelation, because Slovenia is part of Western organisations. Yet Janša's ""thought-out missile"" targetted Fajon's statement that Slovenia is sovereign in its candidacy.

Under the headline Foreign Policy in a Meat Grinder, the paper says it has become custom for projects of national importance to sooner or later find themselves caught in the meat grinder of partisan interests.

This is not the first nor the last time that foreign policy has been instrumentalised for day-to-day politics and for positioning in the fight for credited for the candidacy's success, or blame for its failure.

At next week's elections in the General Assembly in New York, Slovenia will not enjoy the backing of the whole of politics, something which attentive diplomats will notice and report back to their countries.

Večer says that nothing can be taken for granted in the new geopolitical situation regardless of which country would be Slovenia's rival for the seat.

Thus Fajon's ""cautious optimism is the reality rather than a communication plan (in case of a failure)"", concludes Večer.",politics,"['politics', 'crime, law and justice']"
