code,hierarchy,name,description
subj:04009001,3,energy,Stories related to energy trading and markets 
subj:04009002,3,metal,"Markets for trading base metals such as copper, aluminium, steel, zinc etc "
subj:04009003,3,securities,Markets for trading types of company paper such as stocks and bonds 
subj:04009004,3,soft commodity,"Trading in commodities such as cotton, sugar, sorghum, soybeans etc. "
subj:04010000,2,media,The various means of disseminating news and information to the public 
subj:04010001,3,advertising,"Methods of promoting goods and service to consumers through video, graphics, print text etc "
subj:04010002,3,book,"The business of producing and selling bound media, whether fiction or non-fiction "
subj:04010003,3,cinema industry,The business of cinema 
subj:04010004,3,news agency,"Commercial agencies for production and distribution of newsworthy events through print, broadcast, video or electronic media "
subj:04010005,3,newspaper and magazine,The business of producing bound and unbound printed paper products for periodic distribution of news items 
subj:04010006,3,online,The business of distributing news and information through computer networks for public consumption 
subj:04010007,3,public relation,The job of promoting products and services through advertising campaigns and/or through person-to-person contact or through news releases 
subj:04010008,3,radio industry,Business of radio 
subj:04010009,3,satellite and cable service,"The business of transmitting of news, entertainment and information via satellite or cable television services "
subj:04010010,3,television industry,Business of television 
subj:04010011,3,music industry,"Recording, production, marketing of music "
subj:04011000,2,manufacturing and engineering,"Manufacturers of electrical, electronic and mechanical equipment but does not cover civil engineering. "
subj:04011001,3,aerospace,Companies that assemble or manufacture components for airplanes and space ships. 
subj:04011002,3,automotive equipment,Companies that produce components for automobiles 
subj:04011003,3,defence equipment,"Manufacturers of guns, tanks, cannons, ships etc for the military and non-military protection services "
subj:04011004,3,electrical appliance,Makers of large and small electrical goods for use in homes or business 
subj:04011005,3,heavy engineering,"Manufacturers of cranes, bulldozers and the like for use in major construction projects "
subj:04011006,3,industrial component,"Manufacturers of mechanical, electrical, electronic items needed in the manufacture of other items "
subj:04011007,3,instrument engineering,"Manufacturers of instruments for calibration, measurement of things like speed, pressure, distance "
subj:04011008,3,shipbuilding,"Manufacturers of ships, submarines, barges. "
subj:04011009,3,machine manufacturing,"Manufacturers of turbines, engines, fans , pumps , motors and components for powered equipment. "
subj:04012000,2,metal and mineral,Production and refining of ores into metals 
subj:04012001,3,building material,"Manufacture of materials like wallboard, lumber wiring for the building industry "
subj:04012002,3,gold and precious material,"Mining, refining and sales of gold and other precious metals "
subj:04012003,3,iron and steel,"Mining, refining and sales of iron-based metals "
subj:04012004,3,non ferrous metal,"Mining, refining and sales of copper, zinc, aluminium, and other metals not based on iron "
subj:04012005,3,mining,"The industry of digging for metals, raw materials such as coal, or precious gems such as diamonds "
subj:04013000,2,process industry,The business of turning raw materials into useable products 
subj:04013001,3,distiller and brewer,Manufacture of alcoholic beverages 
subj:04013002,3,food,"The business of processing, distributing and selling for basic human consumption "
subj:04013003,3,furnishings and furniture,"Manufacture of furniture, wallpaper, paints and fabrics for interior decoration "
subj:04013004,3,paper and packaging product,"Production of paper material for writing, wrapping, printing, or packaging "
subj:04013005,3,rubber product,"Production of rubber based materials for gloves, protective coatings, hoses and the like "
subj:04013006,3,soft drinks,Production of non-alcoholic drinks 
subj:04013007,3,textile and clothing,"Production of fabrics for furnishings and fixtures, and for clothing of various types "
subj:04013008,3,tobacco,"Growing, producing and sale of tobacco products "
subj:04014000,2,tourism and leisure,Tourism and leisure industries 
subj:04014001,3,casino and gambling,"The business of providing outlets for various games of chance using cards, dice, spinning wheels to betting on animal races "
subj:04014002,3,hotel and accommodation,The business of providing food and shelter to travellers 
subj:04014003,3,recreational and sporting goods,Manufacture of goods for leisure activities 
subj:04014004,3,restaurant and catering,The business of providing prepared foods for customers in groups large and small 
subj:04014005,3,tour operator,"Operators of trips either locally, as around town, or to other countries "
subj:04015000,2,transport,The means of getting from one place to the other without walking 
subj:04015001,3,air transport,Airplane and airport operations 
subj:04015002,3,railway,The business of transporting people or cargo by rail 
subj:04015003,3,road transport,The business of transport goods by trucks and highways 
subj:04015004,3,waterway and maritime transport,"Commercial movement of people or goods via boats, ships and water "
subj:04016000,2,company information,Information about individual companies or business entities 
subj:04016001,3,accounting and audit,Changes in choice of auditing firm. Reports on impact of changes in GAAP. 
subj:04016002,3,annual and special corporate meeting,Announcements of upcoming meetings. Reports on meetings. 
subj:04016003,3,annual report,Availability or contents of annual company reports. 
subj:04016004,3,antitrust issue,"Antitrust activities, monopoly regulation, etc. "
subj:04016005,3,"merger, acquisition and takeover","News on mergers, takeovers or acquisitions. "
subj:04016006,3,analysts' comment,"Stock analyst comments, analysis and recommendations. "
subj:04016007,3,bankruptcy,Actual bankruptcy filings. 
subj:04016008,3,board of directors (appointment and change),Appointments to or changes in the board of directors for a company. 
subj:04016009,3,buyback,Stock buyback programs. This should be kept distinct from Stock Activity (see below). 
subj:04016010,3,C.E.O. interview,Interviews with Chief Executive Officers. 
subj:04016011,3,corporate officer,Appointments or changes in corporate officers. 
subj:04016012,3,corporate profile,Descriptive profiles of companies. 
subj:04016013,3,contract,Commercial contracts. 
subj:04016014,3,defence contract,The award of government contracts for defence related activity. 
subj:04016015,3,dividend announcement,Announcements regarding the disbursement of dividends. 
subj:04016016,3,earnings forecast,Analyst prediction of company earnings. 
subj:04016017,3,financially distressed company,Aa company is financially distressed - not yet having filed for bankruptcy. 
subj:04016018,3,earnings,Any increase of earnings results. 
subj:04016019,3,financing and stock offering,New offerings of equity including initial public offerings. 
subj:04016020,3,government contract,The award of government contracts not related to defence activity 
subj:04016021,3,global expansion,Planned or actual openings of offices in countries for the first time. 
subj:04016022,3,insider trading,The purchase or sales of stock by corporate officers or board members. 
subj:04016023,3,joint venture,Joint ventures between companies. (Not marketing related - see Marketing.) 
subj:04016024,3,leveraged buyout,Leveraged buyouts. 
subj:04016025,3,layoffs and downsizing,Planned or actual reductions in the labour force. 
subj:04016026,3,licensing agreement,Licensing agreements between companies. 
subj:04016027,3,litigation and regulation,Corporate law including litigation and regulations. 
subj:04016028,3,management change,Major appointments or changes in management below the level of corporate officer. 
subj:04016029,3,marketing,"Includes news regarding joint marketing agreements between companies, adoption of new product marketing strategies, etc. "
subj:04016030,3,new product,Announcements of new products. 
subj:04016031,3,"patent, copyright and trademark","News related to patents, copyright and trademarks. "
subj:04016032,3,plant closing,Announcements of planned or actual plant closings. 
subj:04016033,3,plant opening,Announcements of planned or actual plant openings. 
subj:04016034,3,privatisation,Privatisation (privatisation) of state run companies. 
subj:04016035,3,proxy filing,Filings with regulatory agencies of proxy statements for upcoming shareholder votes. 
subj:04016036,3,rating,Corporate and sovereign debt and credit ratings (e.g. SandP or Moody's) 
subj:04016037,3,research and development,Research and expenditure on new product development. 
subj:04016038,3,quarterly or semiannual financial statement,Availability or contents of quarterly or semi-annual corporate reports. 
subj:04016039,3,restructuring and recapitalisation,"Sale of company units, splits of existing companies into units under a holding company, etc. "
subj:04016040,3,spin-off,Creation of new companies being spun off from existing companies. 
subj:04016041,3,stock activity,"Announcements of major stock events: splits, block trades, new highs or lows, etc. "
subj:04016042,3,industrial production,Manufacture of durable and non-durable goods 
subj:04016043,3,productivity,"The cost of labour to produce an item of value, often measured as output per hour per person "
subj:04016044,3,inventories,"Goods not sold and held by the producer, wholesaler or retailer "
subj:04016045,3,sales,"Either the exchange of goods for money, or the practice of discounting prices to increase the amount of goods sold, or to get rid of outdated merchandise "
subj:04016046,3,corporations,Business enterprises formally licensed with boards of directors and hierarchical structures of governance 
subj:04016047,3,shareholders,Anyone holding a piece of paper issued by a company which changes in value and entitles them to dividends depending on the performance of the company 
subj:04016048,3,corporate performance,"How well a company performs, measured by its net earnings, its dividends its earnings per share and price/earnings ratio "
subj:04016049,3,losses,When expenses exceed revenue 
subj:04016050,3,credit ratings,"Formal statements by certain rating agencies such as Standard and Poor's on the investment risk of a company, a country or enterprise "
subj:04016051,3,stock splits,"Issuing multiple shares for one share of stock. Usually occurs when the price of a stock has increased so much that its purchase price is not attractive. A reverse split is when one share is issued for multiple shares, to raise the per share value. "
subj:04016052,3,stock options,An agreement to either buy or sell a stock when it meets a certain price 
subj:04016053,3,recalls (products),A decision by a company to take back or repair a defective product 
subj:04016054,3,globalization,Doing business around the world 
subj:04016055,3,consumers,Buyers of goods and services 
subj:04016056,3,purchase,"Items that companies buy, such as raw materials, office supplies etc. "
subj:04016057,3,new service,"New services added by a company, such as new flight routes, etc. "
subj:04017000,2,economy (general),Content of a general nature about trade and the economy 
subj:04017001,3,economic policy,"Government directed policy on production, taxes, tariffs and things that affect the direction and health of the economy "
subj:04018000,2,business (general),Content of a general nature about business 
