code,name,hierarchy,final_description
subj:01011002,folk music,3,"Name: folk music
Description: Music that developed from folk cultures, often based on story-telling "
subj:01011003,jazz music,3,"Name: jazz music
Description: A music of diverse harmonics, often improvised "
subj:01011004,popular music,3,"Name: popular music
Description: The latest fad in music, generally aimed at the younger generation "
subj:01011005,country music,3,"Name: country music
Description: Similar to folk but is unique to the United States and is less about story telling than about loves sought and lost "
subj:01011006,rock and roll music,3,"Name: rock and roll music
Description: Popular dance music developed in the 1950s "
subj:01011007,hip-hop,3,"Name: hip-hop
Description: A contemporary urban music originating in the 1970s. "
subj:01012000,painting,2,"Name: painting
Description: Using the mediums of oils, watercolour, pastel, pencils, chalk, crayon etc on various grounds to express emotion or message "
subj:01013000,photography,2,"Name: photography
Description: Mechanical means of creating images of objects by use of light and light sensitive materials with chemicals or by digitals means "
subj:01014000,radio,2,"Name: radio
Description: Radio as art and entertainment "
subj:01015000,sculpture,2,"Name: sculpture
Description: Representation of forms in clays, stone, woods, metals or other materials "
subj:01015001,plastic art,3,"Name: plastic art
Description: Forms of hand created art including installations "
subj:01016000,television,2,"Name: television
Description: Television as art and entertainment "
subj:01016001,soap opera,3,"Name: soap opera
Description: Episodic TV drama or saga, normally aired during daytime "
subj:01017000,theatre,2,"Name: theatre
Description: Telling of a story or idea through dialogue, music and physical expression in a space or building designed for it "
subj:01017001,music theatre,3,"Name: music theatre
Description: Opera, operetta, music revues etc "
subj:01018000,monument and heritage site,2,"Name: monument and heritage site
Description: Areas containing commemorative objects for historical people or events "
subj:01019000,customs and tradition,2,"Name: customs and tradition
Description: A particular way of behaving, or observances that have developed over time by a group of people "
subj:01020000,arts (general),2,"Name: arts (general)
Description: The collective expression of message or emotion through music, literature, painting, theatre or other means "
subj:01021000,entertainment (general),2,"Name: entertainment (general)
Description: The collective use of television, radio, theatre, music and the like for the amusement of people "
subj:01021001,entertainment award,3,"Name: entertainment award
Description: Awards for achievement in the entertainment industry, such as the Oscars for film, the Booker Prize for Literature, the Grammys for music, or induction into halls of fame. "
subj:01022000,culture (general),2,"Name: culture (general)
Description: The ideas, customs, arts, skills of a particular group "
subj:01022001,cultural development,3,"Name: cultural development
Description: The history of the development of art and culture such as the rise of cave paintings, pre-Colombian art, Chinese paper-making, anything non-political "
subj:01023000,nightclub,2,"Name: nightclub
Description: A commercial establishment providing music, or other entertainment along with food and drink to selected clientele "
subj:01024000,cartoon,2,"Name: cartoon
Description: Still images such as editorial cartoons and comic strips "
subj:01025000,animation,2,"Name: animation
Description: Animation, including full-length and short cinema, artists and merchandising of goods featuring animation characters. "
subj:01026000,mass media,2,"Name: mass media
Description: Television, radio, magazines, newspapers etc "
subj:01026001,periodicals,3,"Name: periodicals
Description: Written material that is usually published weekly, bi-weekly, monthly or annually for a long time "
subj:01026002,news media,3,"Name: news media
Description: Television, wire services, radio that collect facts about incidents, developing and presenting them to audiences as a whole story "
subj:01026003,newspapers,3,"Name: newspapers
Description: Daily or weekly publications that present the day to day history of the world, as well as features, comics etc "
subj:01026004,reviews,3,"Name: reviews
Description: A critical look at someone else's work, whether film, theatre or writing "
subj:01027000,internet,2,"Name: internet
Description: Internet as art and entertainment "
subj:01028000,history,2,"Name: history
Description: Issues connected with the past; discoveries, repair, conservation or display of artifacts; anniversaries of historic events "
subj:02000000,"crime, law and justice",1,"Name: crime, law and justice
Description: Establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules and the punishment of offenders. Organizations and bodies involved in these activities. 
Keywords: criminal justice system, law enforcement agencies, judiciary branch, legal statutes, civil rights violations, criminal prosecution, sentencing guidelines, felony charges, misdemeanor offenses, legal code amendments, law and order policies, police misconduct, courtroom trials, judicial review, crime prevention strategies, penal system, juvenile delinquency, bail reforms, probation system, plea bargaining, public defender services, victim advocacy, forensics analysis, criminal defense, correctional facilities, legislative oversight, white-collar crimes, drug trafficking laws, domestic violence acts, arrest warrants, search and seizure, crime statistics, recidivism rates, restorative justice, capital punishment, mental health courts, jury selection process, hate crime legislation, criminal appeals process, decriminalization policies, youth offender programs, community policing initiatives, fraud investigations, cybercrime laws, identity theft penalties, sexual assault protocols, homicide investigations, terrorism charges, human trafficking enforcement, embezzlement cases, corruption scandals, data privacy laws, legal advocacy groups, parole eligibility, witness protection programs, extradition treaties, forensic psychology, counter-terrorism measures, organized crime prosecution, intellectual property rights enforcement, border control security, money laundering regulations, legal aid resources, inmate rehabilitation programs, crime scene investigation"
subj:02001000,crime,2,"Name: crime
Description: Violation of established laws by individuals, companies or organizations "
subj:02001001,homicide,3,"Name: homicide
Description: Killing of one person by another "
subj:02001002,computer crime,3,"Name: computer crime
Description: Theft or destructive behaviour using a computer "
subj:02001003,theft,3,"Name: theft
Description: Unlawful taking "
subj:02001004,drug trafficking,3,"Name: drug trafficking
Description: Dealing in illicit often harmful substances "
subj:02001005,sexual assault,3,"Name: sexual assault
Description: Sexual battery of one sex against another "
subj:02001006,assault (general),3,"Name: assault (general)
Description: Battery, slugfests, brawls and threatening behaviour "
subj:02001007,kidnapping,3,"Name: kidnapping
Description: To seize and detain or carry away a person against that person's will by unlawful threat, force or fraud "
subj:02001008,arson,3,"Name: arson
Description: Intentional setting of fires with criminal intent "
subj:02001009,gang activity,3,"Name: gang activity
Description: Criminal activities by groups of individuals, usually in urban areas, who are allied by common territories, languages, ethnic backgrounds but generally are loosely organized. "
subj:02001010,terrorism,3,"Name: terrorism
Description: Violence against people to create fear in order to achieve political or ideological objectives "
subj:02002000,judiciary (system of justice),2,"Name: judiciary (system of justice)
Description: The system set up to deal with crime and those who do them "
subj:02002001,lawyer,3,"Name: lawyer
Description: Anyone legally able to represent another person or entity in a legal matter, such as a lawyer, solicitor, barrister, procurator, notary. "
subj:02002002,judge,3,"Name: judge
Description: Members of the bench that sit in judgement "
subj:02002003,court administration,3,"Name: court administration
Description: Court clerks, bailiffs, stenographers etc. "
subj:02003000,police,2,"Name: police
Description: Agents of the legal system set up enforce the laws "
subj:02003001,law enforcement,3,"Name: law enforcement
Description: Agencies involved in attempts to prevent disobedience to established laws, or to bring to justice those that disobey those laws "
subj:02003002,investigation,3,"Name: investigation
Description: Process of inquiry of a possible crime up to the point of arrest "
subj:02003003,arrest,3,"Name: arrest
Description: Detention of a suspect of a crime "
subj:02004000,punishment,2,"Name: punishment
Description: The retribution handed out to those who break the laws "
subj:02004001,fine,3,"Name: fine
Description: Monetary punishment "
subj:02004002,execution,3,"Name: execution
Description: The carrying out of executions by a government or state, not by extralegal groups/organisations "
subj:02005000,prison,2,"Name: prison
Description: Also know as jails, lockups, calaboose, etc. for keeping law breakers from society "
subj:02006000,laws,2,"Name: laws
Description: The codification of rules of behaviour "
subj:02006001,criminal,3,"Name: criminal
Description: The criminal code system "
subj:02006002,civil,3,"Name: civil
Description: The civil code system "
subj:02007000,justice and rights,2,"Name: justice and rights
Description: The equitable administration of laws and regulations "
subj:02007001,civil rights,3,"Name: civil rights
Description: Rights of individuals under civil law "
subj:02008000,trials,2,"Name: trials
Description: The process by which guilt or innocence, or right or wrong is determined and adjudged "
subj:02008001,litigation,3,"Name: litigation
Description: Taking disputed issues to court for settlement by judge and/or jury "
subj:02008002,arbitration,3,"Name: arbitration
Description: Resolution of disputed issues by a neutral panel "
subj:02008003,court preliminary,3,"Name: court preliminary
Description: Pre-trial events including pleas, bail, motions, discovery, depositions. "
subj:02009000,prosecution,2,"Name: prosecution
Description: Stories regarding activities and investigations by public prosecutors. "
subj:02009001,defendant,3,"Name: defendant
Description: The person on trial "
subj:02009002,witness,3,"Name: witness
Description: A person who testifies "
subj:02010000,organized crime,2,"Name: organized crime
Description: Crimes committed by gangs or criminal groups. "
subj:02011000,international law,2,"Name: international law
Description: The system of laws embraced by all nations, such as the Geneva Convention, the International Law of the Seas, etc. "
subj:02011001,international court or tribunal,3,"Name: international court or tribunal
Description: The activities of international tribunals such as European court for human rights, Hague tribunal, International Court of Justice etc "
subj:02011002,extradition,3,"Name: extradition
Description: Legal transfer of criminals or suspects between countries "
subj:02012000,corporate crime,2,"Name: corporate crime
Description: Misdeeds of corporations and corporate officers "
subj:02012001,fraud,3,"Name: fraud
Description: Intentional deception that causes others to give up rights or property "
subj:02012002,embezzlement,3,"Name: embezzlement
Description: The intentional theft of money left in one's care "
subj:02012003,restraint of trade,3,"Name: restraint of trade
Description: Interference in free competition in business and trade "
subj:02012004,breach of contract,3,"Name: breach of contract
Description: Rupture of legal agreements between companies, and with customers "
subj:02012005,anti-trust crime,3,"Name: anti-trust crime
Description: Violations of laws against monopolies "
subj:02012006,corruption,3,"Name: corruption
Description: General business misbehaviour "
subj:02012007,bribery,3,"Name: bribery
Description: Payments or benefits to influence the outcome of a legal case "
subj:02013000,war crime,2,"Name: war crime
Description: Crimes committed during a war or armed conflict, usually against civilians or POW's, including the prosecution of such crimes "
subj:02014000,inquest,2,"Name: inquest
Description: Formal investigation of sudden or unexpected death and the hearing to decide cause of death. "
subj:02015000,inquiry,2,"Name: inquiry
Description: Formal hearing involving a disaster, political event etc. Eg rail crash, drug prescription scandal. "
subj:02016000,tribunal,2,"Name: tribunal
Description: Formal hearing usually involving employment issues, property etc. "
subj:03000000,disaster and accident,1,"Name: disaster and accident
Description: Man made and natural events resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property. 
Keywords: earthquake, flood, hurricane, tsunami, tornado, wildfire, drought, volcanic eruption, avalanche, landslide, industrial accident, nuclear disaster, chemical spill, oil spill, radiation leak, explosion, structural collapse, mining disaster, transportation accident, airplane crash, train derailment, shipwreck, traffic collision, bridge failure, pipeline burst, electrical fire, gas leak explosion, terrorism, armed conflict, riot, building fire, dam failure, power outage, cyber attack, biohazard incident, genetic pollution, infrastructure failure, mass poisoning, food contamination, water contamination, air pollution incident, deforestation, habitat destruction, resource depletion, ecosystem collapse, extreme weather event, heatwave, cold snap, toxic waste dumping, sinkhole, pesticide spill, crowd crush, amusement park accident, workplace injury, school shooting, public health emergency, pandemic, epidemic, animal attack, mass extinction event, environmental disaster, radiological emergency, drone collision"
subj:03001000,drought,2,"Name: drought
Description: A severe lack of water over a period of time "
subj:03002000,earthquake,2,"Name: earthquake
Description: The shifting of the tectonic plates of the Earth, creating in some cases damage to structures "
subj:03003000,famine,2,"Name: famine
Description: Severe lack of food for a large population "
subj:03004000,fire,2,"Name: fire
Description: Ignition and consumption of materials through a combination of high heat and oxygen "
subj:03005000,flood,2,"Name: flood
Description: Surfeit of water, caused by heavy rains or melting snow, usually in places where it's not wanted "
subj:03006000,industrial accident,2,"Name: industrial accident
Description: A mishap in a factory, a shop or an office, potentially harmful to humans "
subj:03006001,structural failures,3,"Name: structural failures
Description: When a building, bridge or other structures collapse because of unexpected forces or poor design "
subj:03007000,meteorological disaster,2,"Name: meteorological disaster
Description: A weather-related disaster "
subj:03007001,windstorms,3,"Name: windstorms
Description: A storm of high velocity but non-hurricane force movements of air with little or no rain or hail. Often highly destructive "
subj:03008000,nuclear accident,2,"Name: nuclear accident
Description: A mishap involving radioactive materials "
subj:03009000,pollution,2,"Name: pollution
Description: Emissions of unwanted materials in areas where it can be harmful "
subj:03010000,transport accident,2,"Name: transport accident
Description: An accident involving one or more vehicles "
subj:03010001,road accident,3,"Name: road accident
Description: Accidents on roads. "
subj:03010002,railway accident,3,"Name: railway accident
Description: Accidents involving trains. "
subj:03010003,air and space accident,3,"Name: air and space accident
Description: Accidents involving craft in air or space. "
subj:03010004,maritime accident,3,"Name: maritime accident
Description: Accidents involving marine vessels. "
subj:03011000,volcanic eruption,2,"Name: volcanic eruption
Description: A rupture in the skin of the Earth allowing molten material to escape to the surface "
subj:03012000,relief and aid organisation,2,"Name: relief and aid organisation
Description: Organizations set up to provide help to those in need because of lack of food, water or shelter "
subj:03013000,accident (general),2,"Name: accident (general)
Description: Any unplanned event that causes unwanted consequences "
subj:03014000,emergency incident,2,"Name: emergency incident
Description: A sudden, unexpected event that requires immediate action "
subj:03014001,explosion,3,"Name: explosion
Description: Sudden eruptions, usually of chemical substances "
subj:03015000,disaster (general),2,"Name: disaster (general)
Description: Serious or sudden misfortune "
subj:03015001,natural disasters,3,"Name: natural disasters
Description: Destructive incidents caused by the very nature of nature -- hurricanes, earthquakes, floods etc "
subj:03015002,avalanche/landslide,3,"Name: avalanche/landslide
Description: Sudden dislodging of massive amounts of snow or soil. "
subj:03016000,emergency planning,2,"Name: emergency planning
Description: Planning for actions to deal with sudden, unplanned events "
subj:03017000,rescue,2,"Name: rescue
Description: An operation to save people, animals or property from harm or danger. "
subj:04000000,"economy, business and finance",1,"Name: economy, business and finance
Description: All matters concerning the planning, production and exchange of wealth. 
Keywords: economic growth, GDP, stock market, business expansion, financial planning, monetary policy, investment strategies, trade agreements, market analysis, inflation rates, unemployment figures, consumer spending, fiscal policy, corporate earnings, wealth management, banking sector, interest rates, budget deficit, credit markets, tax legislation, financial regulation, exchange rates, economic forecast, venture capital, start-up ecosystem, business mergers, market trends, financial crisis, asset allocation, entrepreneurship, economic indicators, commodity prices, trade balance, economic sanctions, business innovation, investor sentiment, private equity, corporate governance, economic development, financial markets, government spending, business cycles, capital markets, economic policy, supply chain, business law, global economy, market volatility, public debt, economic stimulus, foreign investment, economic inequality, risk management, economic integration, business strategy, mergers and acquisitions, quantitative easing, fintech, green economy, sustainable finance, e-commerce trends, cryptocurrency markets, central banking, trade tariffs, industrial production, real estate market, financial literacy, economic conferences, business regulations, economic modeling, revenue forecasts, investment banking, economic resilience, business outsourcing"
subj:04001000,agriculture,2,"Name: agriculture
Description: The process of producing natural materials for consumption "
subj:04001001,arable farming,3,"Name: arable farming
Description: Production of food in the ground "
subj:04001002,fishing industry,3,"Name: fishing industry
Description: Raising or gathering of fish "
subj:04001003,forestry and timber,3,"Name: forestry and timber
Description: Production and collection and preparation of wood products for future use "
subj:04001004,livestock farming,3,"Name: livestock farming
Description: Raising of animals for food "
subj:04001005,viniculture,3,"Name: viniculture
Description: Production of wines from the vines to the finish products "
subj:04001006,aquaculture,3,"Name: aquaculture
Description: Growing plants or animals in water for human consumption "
subj:04002000,chemicals,2,"Name: chemicals
Description: Natural or manmade materials used to produce other materials "
subj:04002001,biotechnology,3,"Name: biotechnology
Description: The business of using engineering technology to study and solved problems of living organisms "
subj:04002002,fertiliser,3,"Name: fertiliser
Description: Natural or manmade materials used to encourage the growth of plants "
subj:04002003,health and beauty product,3,"Name: health and beauty product
Description: Compilation of chemicals and other substances for use in enhancing ones looks or smell "
subj:04002004,inorganic chemical,3,"Name: inorganic chemical
Description: The branch of chemistry dealing with minerals and metals "
subj:04002005,organic chemical,3,"Name: organic chemical
Description: The branch of chemistry dealing with human, animal or carbon-based substances "
subj:04002006,pharmaceutical,3,"Name: pharmaceutical
Description: The production of medicines from various chemicals and natural substances "
subj:04002007,synthetic and plastic,3,"Name: synthetic and plastic
Description: Chemicals used to produce plastics and other artificial substances to be used in manufacturing "
subj:04003000,computing and information technology,2,"Name: computing and information technology
Description: Anything to do with the computing and/or transmission of information from one point to another. "
subj:04003001,hardware,3,"Name: hardware
Description: The physical devices used to provide computer services, such as monitors, hard drives, keyboards etc. but can also be used for equipment such as routers, servers and other network devices. "
subj:04003002,networking,3,"Name: networking
Description: The interconnectivity between hardware that provides the medium for the transmission of data. "
subj:04003003,satellite technology,3,"Name: satellite technology
Description: Hardware and software that enables groundbased devices to send signals to each other via an orbiting satellite. "
subj:04003004,semiconductors and active components,3,"Name: semiconductors and active components
Description: The basic components that together create working electronic devices such as computers "
subj:04003005,software,3,"Name: software
Description: Programming sets that, when installed on hardware, perform specified functions. "
subj:04003006,telecommunication equipment,3,"Name: telecommunication equipment
Description: Devices such as telephone sets, voice/data switches, modems etc that facilitate point-to-point voice/data transmissions "
subj:04003007,telecommunication service,3,"Name: telecommunication service
Description: Services provided by commercial companies that facilitate connections between telephones, pagers, computers "
subj:04003008,security,3,"Name: security
Description: To encompass technical developments in hardware and software, basic research and related areas such as cyber security "
subj:04003009,wireless technology,3,"Name: wireless technology
Description: Transmission of information through means other than point-to-point wired hookups "
subj:04004000,construction and property,2,"Name: construction and property
Description: All items pertaining to the construction and sale of property "
subj:04004001,heavy construction,3,"Name: heavy construction
Description: Large scale construction projects, construction of roads, dams, office/factory buildings, offshore and onshore structures, large sport stadiums "
subj:04004002,house building,3,"Name: house building
Description: Construction of residences, for private use "
subj:04004003,real estate,3,"Name: real estate
Description: The buying and selling of properties of all types "
subj:04004004,farms,3,"Name: farms
Description: Agricultural areas for the production of foodstuffs, including dairy products, fruits and livestock, such as cattle and fish "
subj:04004005,land price,3,"Name: land price
Description: The price of land in specific zoned areas such as commercial, residential arable as provided by a responsible body "
subj:04004006,renovation,3,"Name: renovation
Description: Restoring properties/structures to a former better state by cleaning, repairing or rebuilding. "
subj:04004007,design and engineering,3,"Name: design and engineering
Description: Design and planning by Engineers, Architects etc. of roads, offices, factories, dams , offshore structures, "
subj:04005000,energy and resource,2,"Name: energy and resource
Description: Production of electrical power, and the water, air, sunlight, and fuels used to produce them "
subj:04005001,alternative energy,3,"Name: alternative energy
Description: Alternative energy business "
subj:04005002,coal,3,"Name: coal
Description: Production and mining of anthracite and bituminous products for use in power production "
subj:04005003,oil and gas - downstream activities,3,"Name: oil and gas - downstream activities
Description: All matters concerning oil and gas, typically refining and distribution activities "
subj:04005004,oil and gas - upstream activities,3,"Name: oil and gas - upstream activities
Description: All matters concerning oil and gas, typically supply chain activities from the reservoir to the refinery gate "
subj:04005005,nuclear power,3,"Name: nuclear power
Description: Use of radioactive materials for power production "
subj:04005006,electricity production and distribution,3,"Name: electricity production and distribution
Description: Primarily concerning the power line distribution system, but also the sale of electrical power at wholesale and retail levels "
subj:04005007,waste management and pollution control,3,"Name: waste management and pollution control
Description: The business of waste management and pollution control "
subj:04005008,water supply,3,"Name: water supply
Description: The business of providing water for human use "
subj:04005009,natural resources (general),3,"Name: natural resources (general)
Description: The general use of natural resources for business purposes, not focused on specific resources such as coal, oil, gas or water "
subj:04005010,energy (general),3,"Name: energy (general)
Description: Energy industry, not focused on any specific sector "
subj:04005011,natural gas,3,"Name: natural gas
Description: A natural resource, mainly methane in an flammable gaseous state, from the ground "
subj:04005012,petrol,3,"Name: petrol
Description: Distilled petroleum product used for automotive fuel, with or without additives "
subj:04005013,diesel fuel,3,"Name: diesel fuel
Description: A distilled petroleum product heavier than gasoline used not only for trucks, marine engines, but in certain forms for home heating "
subj:04005014,kerosene/paraffin,3,"Name: kerosene/paraffin
Description: A light petroleum distillate used for cooking fuel, aircraft jet engines, lamps, heating and cleaning "
subj:04006000,financial and business service,2,"Name: financial and business service
Description: Services that transmit, safeguard, keep track of money or provide backup to commercial enterprises "
subj:04006001,accountancy and auditing,3,"Name: accountancy and auditing
Description: Services provide balance sheet, budgets reconciliation and examine accuracy of financial statements "
subj:04006002,banking,3,"Name: banking
Description: Services for storing, transmitting, receiving and delivery of cash moneys "
subj:04006003,consultancy service,3,"Name: consultancy service
Description: Providers of expert knowledge in a wide range of fields usually on a temporary, contract basis "
subj:04006004,employment agency,3,"Name: employment agency
Description: A service helping people find jobs, and companies to find workers "
subj:04006005,healthcare provider,3,"Name: healthcare provider
Description: Providers of medical services at all levels, including doctors, hospitals etc "
subj:04006006,insurance,3,"Name: insurance
Description: A risk taking venture that allows individuals to pay small amounts periodically to guard financially against unexpected events "
subj:04006007,legal service,3,"Name: legal service
Description: Lawyers and others who help companies and individuals deal with state, federal and local laws "
subj:04006008,market research,3,"Name: market research
Description: A service that tries to determine what people want to buy "
subj:04006009,stock broking,3,"Name: stock broking
Description: The buying and selling of company shares on behalf of individuals or other entities "
subj:04006010,personal investing,3,"Name: personal investing
Description: Personal finance and investment "
subj:04006011,market trend,3,"Name: market trend
Description: Statistically significant consumer behaviour. "
subj:04006012,shipping service,3,"Name: shipping service
Description: Companies that prepare and transport packages and documents for individuals or companies by any means, including postal services. "
subj:04006013,personal service,3,"Name: personal service
Description: Consumer service that is intangible e.g. beauty care as in hairdressing "
subj:04006014,janitorial service,3,"Name: janitorial service
Description: Companies that provide cleaning and similar services for homes and businesses. "
subj:04006015,funeral parlour and crematorium,3,"Name: funeral parlour and crematorium
Description: Companies that provide services for disposal of the dead "
subj:04006016,rental service,3,"Name: rental service
Description: Companies which provide rentals, including motor vehicles, tuxedos, tools, heavy equipment, and other supplies "
subj:04006017,wedding service,3,"Name: wedding service
Description: Services and products related to the wedding industry "
subj:04006018,personal finance,3,"Name: personal finance
Description: An individual's income and expenses "
subj:04006019,personal income,3,"Name: personal income
Description: Money that a person earns and is his/hers to keep or spend "
subj:04006020,auction service,3,"Name: auction service
Description: Sales by bidding "
subj:04006021,printing/promotional service,3,"Name: printing/promotional service
Description: Production of printed matter such as flyers, ads, signs etc "
subj:04006022,investment service,3,"Name: investment service
Description: Financial advisers, as opposed to stock dealers or consultants "
subj:04007000,consumer goods,2,"Name: consumer goods
Description: Items produced for and sold to individuals "
subj:04007001,clothing,3,"Name: clothing
Description: Items of apparel to wear "
subj:04007002,department store,3,"Name: department store
Description: Stores largely devoted to the sale of clothing to individuals "
subj:04007003,food,3,"Name: food
Description: Fruits, vegetables, breads, meats for human consumption "
subj:04007004,mail order,3,"Name: mail order
Description: Items sold through and delivered by mail "
subj:04007005,retail,3,"Name: retail
Description: The last stage in the sales chain "
subj:04007006,speciality store,3,"Name: speciality store
Description: Retail outlets that specialize in categories such as shoes, coats, power tools, etc "
subj:04007007,wholesale,3,"Name: wholesale
Description: The first link in the sales chain after production "
subj:04007008,beverage,3,"Name: beverage
Description: Liquid consumables, both alcoholic and non-alcoholic "
subj:04007009,electronic commerce,3,"Name: electronic commerce
Description: Buying and selling items through the Internet "
subj:04007010,luxury good,3,"Name: luxury good
Description: Leather bags, jewellery, haute couture, accessories etc "
subj:04007011,non-durable good,3,"Name: non-durable good
Description: Lighters, pens and stationery, tableware, watches, glasses etc "
subj:04007012,toy,3,"Name: toy
Description: Children's plaything "
subj:04008000,macro economics,2,"Name: macro economics
Description: Broad scale economics and the world or national level "
subj:04008001,central bank,3,"Name: central bank
Description: A country's major bank that sets interest rates, and provides transfer of funds between commercial banks "
subj:04008002,consumer issue,3,"Name: consumer issue
Description: Those issues, such as prices, inflation/deflation, quality of goods, at the retail sales level "
subj:04008003,debt market,3,"Name: debt market
Description: Market for trading debt instruments such as bonds, CDs, bankers acceptances, T bills, notes, IOUs etc "
subj:04008004,economic indicator,3,"Name: economic indicator
Description: Certain indexes, such as company inventories, the movement of prices that show whether the economy is improving or declining "
subj:04008005,emerging market,3,"Name: emerging market
Description: Those markets that are struggling to enter the world economies and those requiring financial help from international lenders "
subj:04008006,foreign exchange market,3,"Name: foreign exchange market
Description: The trading of shekels, dinars, euros dollars etc around the world through regulated markets "
subj:04008007,government aid,3,"Name: government aid
Description: Supply of financial and other help by one government, usually to another "
subj:04008008,government debt,3,"Name: government debt
Description: The amount a government owes on bonds, services and for goods and services for which it has no ready cash "
subj:04008009,interest rate,3,"Name: interest rate
Description: The amount of money one must pay to borrow money "
subj:04008010,international economic institution,3,"Name: international economic institution
Description: Entities such as UNIDO, World Bank, World Trade Organization, the Import-Expert Bank etc that deals at a world level "
subj:04008011,international (foreign) trade,3,"Name: international (foreign) trade
Description: Trade of goods and services between nations "
subj:04008012,loan market,3,"Name: loan market
Description: The market where money is available to borrow, at certain rates of interest "
subj:04008013,economic organization,3,"Name: economic organization
Description: Business, industrial and trade associations, societies and other private-sector groups. "
subj:04008014,consumer confidence,3,"Name: consumer confidence
Description: Reports on consumer confidence in the economy. "
subj:04008015,trade dispute,3,"Name: trade dispute
Description: International dispute over trade barriers, cartels, dumping etc. "
subj:04008016,inflation and deflation,3,"Name: inflation and deflation
Description: An increase in the amount of money in circulation and thereby a rise in prices; deflation, tighter monetary policy causing lower prices "
subj:04008017,prices,3,"Name: prices
Description: The monetary value of goods, services or stocks and bonds "
subj:04008018,currency values,3,"Name: currency values
Description: The value of one currency as measured against another "
subj:04008019,budgets and budgeting,3,"Name: budgets and budgeting
Description: A method of balancing revenues against expenses "
subj:04008020,credit and debt,3,"Name: credit and debt
Description: Credit: the amount of money available to you, often by loan. Debt, the amount you owe. "
subj:04008021,loans,3,"Name: loans
Description: An agreement by one individual or institution to temporarily disperse money to another, with an agreed rate and time for its return "
subj:04008022,mortgages,3,"Name: mortgages
Description: The loan of money for the purpose of purchasing a property, whether land or building. Or, for homeowners to repair or maintain properties, often based on owner equity in a property "
subj:04008023,financial markets,3,"Name: financial markets
Description: Institutions set up to trade the shares or other financial paper of companies or other organizations, can also include currency trading "
subj:04008024,commodity markets,3,"Name: commodity markets
Description: The bartering or trading of goods such as cotton, oil, coal, metals, etc "
subj:04008025,investments,3,"Name: investments
Description: Speculative purchases of corporate instruments, of commodities, currencies, or parts thereof "
subj:04008026,stocks,3,"Name: stocks
Description: Corporate paper that gives an individual an ownership right to a part of a company's earnings "
subj:04008027,bonds,3,"Name: bonds
Description: Corporate or governmental paper representing the loan of money at a fixed rate and for a fixed time to that company or government "
subj:04008028,mutual funds,3,"Name: mutual funds
Description: Pools of shares or bonds for sale often grouped by investment intention, such as growth, income or security "
subj:04008029,derivative securities,3,"Name: derivative securities
Description: Financial instruments such as futures, swaps and options, used for risk management, whose characteristics and value depend upon the characteristics and value of an underlying instrument, such as a commodity, bond, equity or currency. "
