review,aspect,label
"Była m wczoraj na pierwszej wizycie u doktora Ufnalewskiego . Sympatyczny , pomocny , wprowadza atmosferę spokoju . Zapomniała m jednak zapytać w jakim szpitalu pracuje , czy wogóle pracuje w szpitalu czy tylko prowadzi swój prywatny gabinet ? Gdyby któraś z Was wiedziała bardzo proszę o odpowiedź , z góry dziękuję .",atmosferę,positive
"Była m na konsultacji u Pani Izabely , jest bardzo miła i sympatyczna . Na razie moge ocenić tylko wizytę , było wszystko na poziomie profesjonalizmu . Następna opinie będę mogła napisać za kilka m - c , poniewaz będę miała kurs leczenia z Pani doktor . I zobaczymy jak wszystko będzie szło . I czy kurs leczenie okazał się dobrze dobrany .",Izabely,positive
"Była m u Pani doktor na wizycie nierefundowanej w Dolmedzie . Niestety wizyta szybka , przepisany antybiotyk - ( bez wymazu z gardła ) i inne leki , które nie przyniosły żadnego efektu . Gardło nadal chore . Jedyny efekt to 210 zł mniej w portfelu ( wizyta 90 pln i leki 120 pln ) . Była m jedyny raz i więcej nie skorzystam .",Pani doktor,negative
"Była m u Pani doktor na wizycie nierefundowanej w Dolmedzie . Niestety wizyta szybka , przepisany antybiotyk - ( bez wymazu z gardła ) i inne leki , które nie przyniosły żadnego efektu . Gardło nadal chore . Jedyny efekt to 210 zł mniej w portfelu ( wizyta 90 pln i leki 120 pln ) . Była m jedyny raz i więcej nie skorzystam .",antybiotyk,negative
"Była m u Pani doktor na wizycie nierefundowanej w Dolmedzie . Niestety wizyta szybka , przepisany antybiotyk - ( bez wymazu z gardła ) i inne leki , które nie przyniosły żadnego efektu . Gardło nadal chore . Jedyny efekt to 210 zł mniej w portfelu ( wizyta 90 pln i leki 120 pln ) . Była m jedyny raz i więcej nie skorzystam .",leki,negative
"Była m u Pani doktor na wizycie nierefundowanej w Dolmedzie . Niestety wizyta szybka , przepisany antybiotyk - ( bez wymazu z gardła ) i inne leki , które nie przyniosły żadnego efektu . Gardło nadal chore . Jedyny efekt to 210 zł mniej w portfelu ( wizyta 90 pln i leki 120 pln ) . Była m jedyny raz i więcej nie skorzystam .",leki,negative
"piękne godne polecenia miejsce , cisza i spokój , czystość i elegancja , świetne miejsce dla rodzin z małymi dziećmi , pomocny i przyjazny personel , dobre jedzenie , możliwośc wypożyczenia rewerów to świetna propozycja dla tych , którzy cenią spokój i aktywny wypoczynek , SUPER MIEJSCE GODNE POLECENIA",miejsce,positive
"piękne godne polecenia miejsce , cisza i spokój , czystość i elegancja , świetne miejsce dla rodzin z małymi dziećmi , pomocny i przyjazny personel , dobre jedzenie , możliwośc wypożyczenia rewerów to świetna propozycja dla tych , którzy cenią spokój i aktywny wypoczynek , SUPER MIEJSCE GODNE POLECENIA",personel,positive
"piękne godne polecenia miejsce , cisza i spokój , czystość i elegancja , świetne miejsce dla rodzin z małymi dziećmi , pomocny i przyjazny personel , dobre jedzenie , możliwośc wypożyczenia rewerów to świetna propozycja dla tych , którzy cenią spokój i aktywny wypoczynek , SUPER MIEJSCE GODNE POLECENIA",jedzenie,positive
"Hotel duży ale brudny . Jedzenia sporo ale nic szczególnego . Najgorsze co nas spotkało to pokój 250 / 1 - musieli śmy spać na balkonie , bo podłoga była zgnita z dziurami a odór taki , że nie dało się w nim spać . Obsługa dopiero po interwencji rezydenta zmieniła nam pokój na 405 Trochę lepszy . Nie polecam - najgorszy hotel w jakim była m .",Hotel,neutral
"Hotel duży ale brudny . Jedzenia sporo ale nic szczególnego . Najgorsze co nas spotkało to pokój 250 / 1 - musieli śmy spać na balkonie , bo podłoga była zgnita z dziurami a odór taki , że nie dało się w nim spać . Obsługa dopiero po interwencji rezydenta zmieniła nam pokój na 405 Trochę lepszy . Nie polecam - najgorszy hotel w jakim była m .",Jedzenia,neutral
"Hotel duży ale brudny . Jedzenia sporo ale nic szczególnego . Najgorsze co nas spotkało to pokój 250 / 1 - musieli śmy spać na balkonie , bo podłoga była zgnita z dziurami a odór taki , że nie dało się w nim spać . Obsługa dopiero po interwencji rezydenta zmieniła nam pokój na 405 Trochę lepszy . Nie polecam - najgorszy hotel w jakim była m .",pokój,negative
"Hotel duży ale brudny . Jedzenia sporo ale nic szczególnego . Najgorsze co nas spotkało to pokój 250 / 1 - musieli śmy spać na balkonie , bo podłoga była zgnita z dziurami a odór taki , że nie dało się w nim spać . Obsługa dopiero po interwencji rezydenta zmieniła nam pokój na 405 Trochę lepszy . Nie polecam - najgorszy hotel w jakim była m .",podłoga,negative
"Hotel duży ale brudny . Jedzenia sporo ale nic szczególnego . Najgorsze co nas spotkało to pokój 250 / 1 - musieli śmy spać na balkonie , bo podłoga była zgnita z dziurami a odór taki , że nie dało się w nim spać . Obsługa dopiero po interwencji rezydenta zmieniła nam pokój na 405 Trochę lepszy . Nie polecam - najgorszy hotel w jakim była m .",Obsługa,negative
"Pokój w miarę ok ale 199 zł bez śniadania to stanowczo za dużo , basen dodatkowo płatny 15 zł / osoba . Jedzenie tragedia , śniadanie 65 zł za 2 osoby dorosłe i 1 dziecko , wszystkie produkty najtańsze z biedronki masakra . Hotel ma ofertę na gruponie ale nie obowiązuje ona w weekendy czego na gruponie nie piszą . Nie polecam .",Pokój,neutral
"Pokój w miarę ok ale 199 zł bez śniadania to stanowczo za dużo , basen dodatkowo płatny 15 zł / osoba . Jedzenie tragedia , śniadanie 65 zł za 2 osoby dorosłe i 1 dziecko , wszystkie produkty najtańsze z biedronki masakra . Hotel ma ofertę na gruponie ale nie obowiązuje ona w weekendy czego na gruponie nie piszą . Nie polecam .",basen,negative
"Pokój w miarę ok ale 199 zł bez śniadania to stanowczo za dużo , basen dodatkowo płatny 15 zł / osoba . Jedzenie tragedia , śniadanie 65 zł za 2 osoby dorosłe i 1 dziecko , wszystkie produkty najtańsze z biedronki masakra . Hotel ma ofertę na gruponie ale nie obowiązuje ona w weekendy czego na gruponie nie piszą . Nie polecam .",Jedzenie,negative
"Pokój w miarę ok ale 199 zł bez śniadania to stanowczo za dużo , basen dodatkowo płatny 15 zł / osoba . Jedzenie tragedia , śniadanie 65 zł za 2 osoby dorosłe i 1 dziecko , wszystkie produkty najtańsze z biedronki masakra . Hotel ma ofertę na gruponie ale nie obowiązuje ona w weekendy czego na gruponie nie piszą . Nie polecam .",produkty,negative
"najtańszy pokój z 2 łóżkami jest odpowiedni raczej dla jednej osoby niż dla dwóch . Wszystko jest mocno skondensowane w pokoju . Pokój ładny , ale umywalka w pokoju i bezpośrednie wejście z pokoju do kabiny prysznicowej nie podobają mi się . Widocznie na tym polega opcja hotelu budget , że idzie po całości oszczędnie , łącznie ze śniadaniem ; )",pokój,neutral
"najtańszy pokój z 2 łóżkami jest odpowiedni raczej dla jednej osoby niż dla dwóch . Wszystko jest mocno skondensowane w pokoju . Pokój ładny , ale umywalka w pokoju i bezpośrednie wejście z pokoju do kabiny prysznicowej nie podobają mi się . Widocznie na tym polega opcja hotelu budget , że idzie po całości oszczędnie , łącznie ze śniadaniem ; )",umywalka,negative
"najtańszy pokój z 2 łóżkami jest odpowiedni raczej dla jednej osoby niż dla dwóch . Wszystko jest mocno skondensowane w pokoju . Pokój ładny , ale umywalka w pokoju i bezpośrednie wejście z pokoju do kabiny prysznicowej nie podobają mi się . Widocznie na tym polega opcja hotelu budget , że idzie po całości oszczędnie , łącznie ze śniadaniem ; )",śniadaniem,negative
"Nie poleam . Szkoda każdej złotówki wydanej na nocleg . Czysta była tylko pościel , ale pod prześcieradłem , na materacu , czarne włosy po poprzednich klientach . W pokoju smród i brud . Obsługa bardzo uprzejma .",pościel,negative
"Nie poleam . Szkoda każdej złotówki wydanej na nocleg . Czysta była tylko pościel , ale pod prześcieradłem , na materacu , czarne włosy po poprzednich klientach . W pokoju smród i brud . Obsługa bardzo uprzejma .",prześcieradłem,negative
"Nie poleam . Szkoda każdej złotówki wydanej na nocleg . Czysta była tylko pościel , ale pod prześcieradłem , na materacu , czarne włosy po poprzednich klientach . W pokoju smród i brud . Obsługa bardzo uprzejma .",materacu,negative
"Nie poleam . Szkoda każdej złotówki wydanej na nocleg . Czysta była tylko pościel , ale pod prześcieradłem , na materacu , czarne włosy po poprzednich klientach . W pokoju smród i brud . Obsługa bardzo uprzejma .",pokoju,negative
"Nie poleam . Szkoda każdej złotówki wydanej na nocleg . Czysta była tylko pościel , ale pod prześcieradłem , na materacu , czarne włosy po poprzednich klientach . W pokoju smród i brud . Obsługa bardzo uprzejma .",Obsługa,negative
"Pani doktor do tej pory zawsze dostępna . Od pół roku leczy moje 5 - letnie dziecko z dobrym skutkiem - mozemy zapomnieć o ciągłych inhalacjach , syropach i lekach ( które brała od dwóch lat ) . teraz wystarczą dwie granulki dziennie . Cudowne uczucie gdy nie trzeba biegać po lekarzach . Polecam ! ! !",Pani doktor,positive
"Hotel dobrze położony , bo w centrum . Ma to swoje plusy i minusy . Widok z mojego pokoju to tragedia ! Stare , obdarte z tynku kamienice . Szkoda . Do tego w pokoju bardzo zimno , kaloryfer letni przez całą noc ! Nikt z obsługi nie zniwelował problemu .",Hotel,positive
"Hotel dobrze położony , bo w centrum . Ma to swoje plusy i minusy . Widok z mojego pokoju to tragedia ! Stare , obdarte z tynku kamienice . Szkoda . Do tego w pokoju bardzo zimno , kaloryfer letni przez całą noc ! Nikt z obsługi nie zniwelował problemu .",Widok,negative
"Hotel dobrze położony , bo w centrum . Ma to swoje plusy i minusy . Widok z mojego pokoju to tragedia ! Stare , obdarte z tynku kamienice . Szkoda . Do tego w pokoju bardzo zimno , kaloryfer letni przez całą noc ! Nikt z obsługi nie zniwelował problemu .",pokoju,negative
"Hotel dobrze położony , bo w centrum . Ma to swoje plusy i minusy . Widok z mojego pokoju to tragedia ! Stare , obdarte z tynku kamienice . Szkoda . Do tego w pokoju bardzo zimno , kaloryfer letni przez całą noc ! Nikt z obsługi nie zniwelował problemu .",kaloryfer,negative
"Hotel dobrze położony , bo w centrum . Ma to swoje plusy i minusy . Widok z mojego pokoju to tragedia ! Stare , obdarte z tynku kamienice . Szkoda . Do tego w pokoju bardzo zimno , kaloryfer letni przez całą noc ! Nikt z obsługi nie zniwelował problemu .",obsługi,negative
"Sympatyczniejszego Krasnoluda na naszej uczelni TO NIE MA ! Poza tym pod dluga , siwa broda i za okularami kryje sie fajny czlowiek . Moze na wykladach sie zasypia , bo dr czyta skrypt , ale mozna latwo zgadnac jakie zadania da na kolokwium / egzaminie . Ma pozytywne nastawienie do ludzi . Czesto zwraca sie do studentow """,Krasnoluda,positive
"Sympatyczniejszego Krasnoluda na naszej uczelni TO NIE MA ! Poza tym pod dluga , siwa broda i za okularami kryje sie fajny czlowiek . Moze na wykladach sie zasypia , bo dr czyta skrypt , ale mozna latwo zgadnac jakie zadania da na kolokwium / egzaminie . Ma pozytywne nastawienie do ludzi . Czesto zwraca sie do studentow """,czlowiek,positive
"Sympatyczniejszego Krasnoluda na naszej uczelni TO NIE MA ! Poza tym pod dluga , siwa broda i za okularami kryje sie fajny czlowiek . Moze na wykladach sie zasypia , bo dr czyta skrypt , ale mozna latwo zgadnac jakie zadania da na kolokwium / egzaminie . Ma pozytywne nastawienie do ludzi . Czesto zwraca sie do studentow """,dr,positive
"Troche zawiedziona : / Nie znamy dokladnej miary maluszka ani teminu porodu bo sprzet "" dziwnie "" pokazuje . Do tego niedawno dowiedzialam sie ze powinna m miec karte ciazy , ktorej Pan doktor mi nie wystawil do dzis ( 17tc ) , a po spytaniu byl zdziwiony , ze jej nie mam bo myslal ze juz mi wystawil : /",teminu,negative
"Troche zawiedziona : / Nie znamy dokladnej miary maluszka ani teminu porodu bo sprzet "" dziwnie "" pokazuje . Do tego niedawno dowiedzialam sie ze powinna m miec karte ciazy , ktorej Pan doktor mi nie wystawil do dzis ( 17tc ) , a po spytaniu byl zdziwiony , ze jej nie mam bo myslal ze juz mi wystawil : /",sprzet,negative
"Troche zawiedziona : / Nie znamy dokladnej miary maluszka ani teminu porodu bo sprzet "" dziwnie "" pokazuje . Do tego niedawno dowiedzialam sie ze powinna m miec karte ciazy , ktorej Pan doktor mi nie wystawil do dzis ( 17tc ) , a po spytaniu byl zdziwiony , ze jej nie mam bo myslal ze juz mi wystawil : /",karte ciazy,negative
"Troche zawiedziona : / Nie znamy dokladnej miary maluszka ani teminu porodu bo sprzet "" dziwnie "" pokazuje . Do tego niedawno dowiedzialam sie ze powinna m miec karte ciazy , ktorej Pan doktor mi nie wystawil do dzis ( 17tc ) , a po spytaniu byl zdziwiony , ze jej nie mam bo myslal ze juz mi wystawil : /",doktor,negative
"Nie był em zadowolony z wizyty , komercja "" proszę następny "" - oczekiwał em zainteresowania problemem . Opinii lekarza dotyczącej zabiegu operacyjnego . Pytał em o operację laserem - a dowiedział em się że każda operacja jest tak samo dobra jak te "" takie nowoczesne "" . Chyba nie operują laserem we Wrocławiu więc nie jestem w tym wypadku "" dobrym "" pacjentem .",zabiegu,negative
Hotel totalna porażka . Pająki w pokoju i szerszenie . Standard jak za komuny telewizor w jednym z pokoi to chyba na postoju tirów ukradli i to tez z 20 lat temu . Łazienka prysznic i pani z recepcji tez maja się tak samo przyjemnie ze tylko nasrac o wyjść,Hotel,negative
Hotel totalna porażka . Pająki w pokoju i szerszenie . Standard jak za komuny telewizor w jednym z pokoi to chyba na postoju tirów ukradli i to tez z 20 lat temu . Łazienka prysznic i pani z recepcji tez maja się tak samo przyjemnie ze tylko nasrac o wyjść,Łazienka,positive
Hotel totalna porażka . Pająki w pokoju i szerszenie . Standard jak za komuny telewizor w jednym z pokoi to chyba na postoju tirów ukradli i to tez z 20 lat temu . Łazienka prysznic i pani z recepcji tez maja się tak samo przyjemnie ze tylko nasrac o wyjść,pani z recepcji,positive
"Oceniam Doktora dobrze ponieważ , akurat po diagnozie okazał się , że mój synek jest zdrowy . Żadnego leczenia a wizyta trwała 3 minuty , więc trudno mnie się wypowiadać na temat kompetencji . Niemniej jednak Pan Doktor wyjaśnił nam wszystko i uspokoił . Myślę , że ma podejście do dzieci .",Doktora,positive
"Oceniam Doktora dobrze ponieważ , akurat po diagnozie okazał się , że mój synek jest zdrowy . Żadnego leczenia a wizyta trwała 3 minuty , więc trudno mnie się wypowiadać na temat kompetencji . Niemniej jednak Pan Doktor wyjaśnił nam wszystko i uspokoił . Myślę , że ma podejście do dzieci .",leczenia,positive
"Analiza 1 Na 2 grupy ćwiczeniowe ( 70 osób ) przepuścił z 5 po II terminie egzaminu . Ilość osób , które zdały w kołach : 0 . I gdzie te proste zadania ? Chyba , że na algebrze jest inaczej . . .",zadania,negative
"Hotel nie spełnia oczekiwań hotelu 3 gwiazdkowego . Nadaje się do generalnego remontu . Brudne firanki , wykładziny , poplamione fotele to standard pokoi . Pokoje z widokiem na dziedziniec ze śmietnikiem . Pełno stromych schodów i brak wind , jedzenie niesmaczne , niskiej jakości . Obsługa obojętna . Jedyny plus to lokalizacja .",Hotel,negative
"Hotel nie spełnia oczekiwań hotelu 3 gwiazdkowego . Nadaje się do generalnego remontu . Brudne firanki , wykładziny , poplamione fotele to standard pokoi . Pokoje z widokiem na dziedziniec ze śmietnikiem . Pełno stromych schodów i brak wind , jedzenie niesmaczne , niskiej jakości . Obsługa obojętna . Jedyny plus to lokalizacja .",firanki,negative
"Hotel nie spełnia oczekiwań hotelu 3 gwiazdkowego . Nadaje się do generalnego remontu . Brudne firanki , wykładziny , poplamione fotele to standard pokoi . Pokoje z widokiem na dziedziniec ze śmietnikiem . Pełno stromych schodów i brak wind , jedzenie niesmaczne , niskiej jakości . Obsługa obojętna . Jedyny plus to lokalizacja .",wykładziny,negative
"Hotel nie spełnia oczekiwań hotelu 3 gwiazdkowego . Nadaje się do generalnego remontu . Brudne firanki , wykładziny , poplamione fotele to standard pokoi . Pokoje z widokiem na dziedziniec ze śmietnikiem . Pełno stromych schodów i brak wind , jedzenie niesmaczne , niskiej jakości . Obsługa obojętna . Jedyny plus to lokalizacja .",fotele,negative
"Hotel nie spełnia oczekiwań hotelu 3 gwiazdkowego . Nadaje się do generalnego remontu . Brudne firanki , wykładziny , poplamione fotele to standard pokoi . Pokoje z widokiem na dziedziniec ze śmietnikiem . Pełno stromych schodów i brak wind , jedzenie niesmaczne , niskiej jakości . Obsługa obojętna . Jedyny plus to lokalizacja .",jedzenie,negative
"Hotel nie spełnia oczekiwań hotelu 3 gwiazdkowego . Nadaje się do generalnego remontu . Brudne firanki , wykładziny , poplamione fotele to standard pokoi . Pokoje z widokiem na dziedziniec ze śmietnikiem . Pełno stromych schodów i brak wind , jedzenie niesmaczne , niskiej jakości . Obsługa obojętna . Jedyny plus to lokalizacja .",Obsługa,negative
"Hotel nie spełnia oczekiwań hotelu 3 gwiazdkowego . Nadaje się do generalnego remontu . Brudne firanki , wykładziny , poplamione fotele to standard pokoi . Pokoje z widokiem na dziedziniec ze śmietnikiem . Pełno stromych schodów i brak wind , jedzenie niesmaczne , niskiej jakości . Obsługa obojętna . Jedyny plus to lokalizacja .",lokalizacja,negative
"Hotel jest dobrze zlokalizowany , kilka kroków od rynku i zamku Wawelskiego oraz dworca PKP i PKS ułatwiają zwiedzanie Krakowa . Co to samego hotelu obsługa miła i pomocna , pokoje ładne i zadbane i nie drogie z możliwością zjedzenia śniadania które jest naprawdę pyszne i oczywiście jest bar otwarty to 24 a więc same plusy",Hotel,positive
"Hotel jest dobrze zlokalizowany , kilka kroków od rynku i zamku Wawelskiego oraz dworca PKP i PKS ułatwiają zwiedzanie Krakowa . Co to samego hotelu obsługa miła i pomocna , pokoje ładne i zadbane i nie drogie z możliwością zjedzenia śniadania które jest naprawdę pyszne i oczywiście jest bar otwarty to 24 a więc same plusy",obsługa,positive
"Hotel jest dobrze zlokalizowany , kilka kroków od rynku i zamku Wawelskiego oraz dworca PKP i PKS ułatwiają zwiedzanie Krakowa . Co to samego hotelu obsługa miła i pomocna , pokoje ładne i zadbane i nie drogie z możliwością zjedzenia śniadania które jest naprawdę pyszne i oczywiście jest bar otwarty to 24 a więc same plusy",pokoje,positive
"Hotel jest dobrze zlokalizowany , kilka kroków od rynku i zamku Wawelskiego oraz dworca PKP i PKS ułatwiają zwiedzanie Krakowa . Co to samego hotelu obsługa miła i pomocna , pokoje ładne i zadbane i nie drogie z możliwością zjedzenia śniadania które jest naprawdę pyszne i oczywiście jest bar otwarty to 24 a więc same plusy",śniadania,positive
"Hotel jest dobrze zlokalizowany , kilka kroków od rynku i zamku Wawelskiego oraz dworca PKP i PKS ułatwiają zwiedzanie Krakowa . Co to samego hotelu obsługa miła i pomocna , pokoje ładne i zadbane i nie drogie z możliwością zjedzenia śniadania które jest naprawdę pyszne i oczywiście jest bar otwarty to 24 a więc same plusy",bar,positive
"Pani Ewa jest wyrozumiała i ma czas dla pacjentki . Odpowiada na wszystkie pytania , robi bardzo dokładny wywiad . Nie rozumiem skąd tyle negatywnych opinii . Ja mogę ją polecić i napewno nie zmienię lekarza na innego . Dodam jeszcze , że chodzę w ramach nfz .",Pani,positive
"Pani Ewa jest wyrozumiała i ma czas dla pacjentki . Odpowiada na wszystkie pytania , robi bardzo dokładny wywiad . Nie rozumiem skąd tyle negatywnych opinii . Ja mogę ją polecić i napewno nie zmienię lekarza na innego . Dodam jeszcze , że chodzę w ramach nfz .",lekarza,positive
"Mulak Wojciech , dr Fizyka I - cwiczenia Ocena : Gorąco polecam [ / b ] Zaliczenie - nie ma problemu , same schematy , bardzo czesto daje na kołach powtórkowych te same zadania co na pierwszym kole . Gorąco polecam naprawde .",Zaliczenie,positive
"Mulak Wojciech , dr Fizyka I - cwiczenia Ocena : Gorąco polecam [ / b ] Zaliczenie - nie ma problemu , same schematy , bardzo czesto daje na kołach powtórkowych te same zadania co na pierwszym kole . Gorąco polecam naprawde .",zadania,positive
Kurs : Laboratorium H 1 i H 2 POLECAM ( SUPER PANI ) [ / b ] Pani Trzmiel jest bardzo Miła Ładna i Fajna . Robi Jedną zapowiedzianą wejściówke bodajże na trzecim laboratorium . Nie robi problemu ze sprawozdaniami . Oczywiscie odda ale tylko raz : D,Kurs,positive
Kurs : Laboratorium H 1 i H 2 POLECAM ( SUPER PANI ) [ / b ] Pani Trzmiel jest bardzo Miła Ładna i Fajna . Robi Jedną zapowiedzianą wejściówke bodajże na trzecim laboratorium . Nie robi problemu ze sprawozdaniami . Oczywiscie odda ale tylko raz : D,PANI,positive
Kurs : Laboratorium H 1 i H 2 POLECAM ( SUPER PANI ) [ / b ] Pani Trzmiel jest bardzo Miła Ładna i Fajna . Robi Jedną zapowiedzianą wejściówke bodajże na trzecim laboratorium . Nie robi problemu ze sprawozdaniami . Oczywiscie odda ale tylko raz : D,Pani,positive
"Pani doktor wykonała podstawowe badanie neurologiczne , ale po wizycie czuła m niedosyt , musiała m sama dopytać , czy wszystko w porządku . Dostała m leki przeciwbólowe na receptę i diagnozę : może to być naczyniowy ból głowy ( czyli , jak rozumiem , może być też coś innego ) . Wizyta trwała 10 minut i kosztowała 120 złotych .",Pani doktor,negative
"Lekarz o miłym usposobieniu i z dobrym podejściem do pacjenta , przyjazny . Robił mi gastroskopię , dzięki niemu w zasadzie nie uciekła m z gabinetu , badanie przeprowadził dobrze bez zbędnych stresów . Ogólnie mogę polecić , leczyła m się u niego na NFZ , sam też bez problemu wypisał skierowanie na gastroskopię - do tego badania szczególnie go polecam .",Lekarz,positive
"Jest godzina 23 : 17 . moje dziecko nie spi.my nie śpimy . dyskoteka / impreza na dziedzińcu . Interwencja w recepcji . przeprosiny . porzednia zmiana dała pokój świadomie od strony dziedzińca . Głośno , płacimy sporo , nie wyśpimy się",recepcji,negative
